,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,0.977273,1.01079,1.05714,0.981366,1.0,1.00431,1.01429,1.02151,1.0,0.991803,1.0,0.995951,0.978723,1.02857,0.986971,0.973783,1.00433,1.1875,0.988827,1.0,1.0531,1.01143,0.988235,0.9428570000000001,1.0,1.04494,1.01408,1.07605,0.979167,1.02752,0.980769,1.02911,0.986667,1.0,0.996479,1.01205,0.982533,1.04918,1.01786,0.97318,1.01961,1.0,1.02174,1.02346,1.07059,1.00935,1.00559,0.989011,1.01163,0.996835,1.04651,1.03571,1.02885,1.0,1.0,1.0,1.0504,1.0,1.10949,1.02985,1.02151,1.06849,1.0126,1.00488,0.985714,1.02778,1.0,1.02469,1.0375,1.0,1.08824,1.00408,1.00452,1.04839,1.0,1.02463,1.01504,0.99187,0.992308,0.988095,1.00866,1.0,1.0181,1.02899,0.993243,1.025,1.10526,1.06312
1,1.01163,1.02491,0.972973,1.0,0.992308,1.04721,1.01408,1.01579,0.994152,1.0,0.992188,1.02032,1.0,1.01389,0.9967,1.02308,1.0,1.03947,1.0113,0.981481,1.02941,0.99435,1.0,1.06061,1.01765,0.989247,1.06944,0.992933,1.03191,1.02976,1.0098,1.0648900000000001,1.0270299999999999,0.988235,1.01413,1.02381,1.0,1.0625,1.05263,1.01181,1.0,1.02353,1.02128,1.04412,0.956044,1.01235,1.00833,0.994444,1.00575,1.00317,1.04444,1.08046,0.998665,1.0303,1.0,0.980769,0.987374,1.0,0.967105,1.04348,1.01053,1.01282,1.0,1.0,0.985507,1.0473,0.996212,1.01807,1.01807,1.0,0.918919,0.995935,0.995495,0.984615,1.00906,0.966346,0.992593,0.994536,1.09302,1.0,1.03004,1.04348,1.02222,1.02113,0.993197,0.97561,1.03571,1.00313
2,1.0,1.01736,1.0,1.0,1.0,0.991803,1.01389,1.0,1.00588,0.991736,1.0,1.01195,0.992754,0.986301,1.0,1.00376,0.99569,1.0,1.00559,1.01887,0.987755,0.982955,0.964286,1.05714,0.99422,0.974638,1.01299,1.01423,1.04124,1.00578,0.990291,1.03438,1.02632,1.01191,1.01742,1.0,1.0,1.05882,1.00833,1.00389,1.00961,1.0,1.02083,0.985915,1.02299,0.993902,1.0,0.988827,0.988571,1.02215,0.946809,0.989362,0.9919789999999999,1.01177,1.01075,1.01961,1.0,1.0,1.02041,0.986111,0.994792,1.0,1.02905,1.0,1.0,1.0258099999999999,1.0,1.00592,1.02959,0.982456,1.02941,0.995918,0.995475,1.01562,1.0,1.00497,1.0,1.0,0.943262,1.0,1.025,1.02083,1.01739,0.993103,1.00685,1.05,1.03448,1.0
3,0.994253,1.00341,1.01389,0.987342,1.00775,1.00413,1.06849,1.00518,1.0,1.00833,0.992126,1.02756,0.9927010000000001,1.02778,1.00662,1.01124,0.995671,1.0,1.01111,1.0,1.0124,1.01734,1.03704,1.0270299999999999,0.994186,1.00744,1.01282,0.954386,1.0099,0.988506,1.0098,0.990937,1.0,1.02353,1.0137,1.02326,0.982222,1.05556,1.0,0.98062,0.990476,1.01724,0.979592,0.996429,0.977528,1.0092,1.00551,1.00565,0.99422,0.993808,0.977528,1.0,1.00539,1.00581,0.989362,1.03846,1.01279,1.11053,0.98,1.0,0.994764,1.01266,1.0,0.995146,0.977941,1.0,1.0,1.00588,0.994253,0.982143,0.971429,1.0,1.0,0.969231,1.00599,0.985148,1.00746,1.00824,0.992481,1.0241,1.00813,1.04082,0.995726,0.958333,1.02721,1.04762,0.9666669999999999,0.965732
4,1.00578,1.03401,0.972603,1.01282,1.00769,0.995885,1.01282,0.984536,1.01754,0.991736,1.0,1.00383,1.02206,1.0,1.01645,1.01482,1.02174,1.01266,1.01099,1.01852,0.987755,1.02273,1.0,0.894737,1.0,1.03321,1.01266,0.996324,1.0,1.01163,1.0,1.03354,1.0,1.03448,1.00676,1.0,1.00452,0.947368,1.0,1.01581,1.03365,1.00565,1.02083,0.978495,0.965517,1.00304,0.994521,1.0,0.994186,0.996885,0.954023,1.01075,1.00268,1.0289,1.0,0.981481,0.997475,1.01896,1.0068,1.01408,1.00526,0.9875,1.0,0.995122,1.00752,0.981132,1.02281,1.0,1.01734,1.0,1.0,1.02049,1.01818,0.984127,0.994048,0.994975,1.0,1.00273,0.965909,1.00838,1.01613,1.0,1.01717,1.0,0.993378,1.04546,0.988506,0.993548
5,0.994253,0.976974,1.02817,1.0,0.992366,0.995868,1.02532,1.0,0.994253,1.00833,1.0,1.00382,0.992806,1.0,1.00324,0.967153,1.0,0.9375,0.994565,0.981818,0.971074,0.988889,0.97619,1.02941,1.0,0.996429,0.9875,1.03321,0.980392,1.01437,1.0,1.00295,1.01282,0.977778,0.966443,0.988636,0.981982,1.0,1.00826,1.02724,1.0,1.0,0.979592,1.0,1.04762,1.01212,1.01377,0.988764,0.947368,0.996875,0.975904,1.0,1.00535,1.0,1.01075,0.981132,1.00253,1.03256,1.01351,1.0,1.0,1.06329,1.00806,1.0,0.970149,0.99359,1.0,1.00585,1.02841,1.0,0.970588,0.995984,0.986607,1.0,1.00599,1.0,1.0,1.0,0.988235,1.00585,0.996032,1.0,0.978903,1.02899,1.0,0.978261,0.988372,1.01623
6,1.01156,1.0,1.0,1.01899,1.03846,1.00415,0.987654,1.01571,1.01156,1.00826,1.01587,0.977186,1.02899,1.0,0.993548,0.977359,1.0,0.96,0.989071,1.0,0.987234,1.00562,0.987805,0.9428570000000001,0.982456,1.01075,1.02532,0.989286,1.0,0.991501,1.0,1.03088,0.987342,0.988636,1.0,1.01149,0.995413,1.01389,1.0,0.994318,0.995349,0.977528,1.0,1.01099,1.0,1.01497,1.0054400000000001,1.0,0.962963,1.0,1.03704,0.978723,0.986702,0.988764,1.02128,1.0,0.992424,0.990991,0.993333,0.986111,1.02618,0.952381,0.996,0.990196,1.0,0.993548,1.00372,0.988372,1.03867,1.0,1.0,1.00403,1.0181,1.0,1.0,1.0,0.992593,1.01087,1.03175,1.00581,1.00398,1.0,1.00431,1.00704,1.0,1.04444,1.0,0.996805
7,1.01143,1.01683,1.0137,0.993789,1.00741,1.0124,0.9875,0.989691,1.01143,1.0,0.992188,0.984436,1.02817,1.0270299999999999,1.0,0.949807,1.01277,1.0,0.994475,1.0,0.974138,0.988827,0.987654,1.06061,1.0,1.03191,1.0,1.02527,1.02,0.982857,0.990291,1.00428,0.987179,1.01149,1.00347,1.0,1.0,1.0137,1.0,0.992381,1.01402,1.00575,1.02083,1.01812,1.03409,1.00885,1.0027,0.994318,0.935897,1.0,1.0,0.978261,0.997305,0.994318,0.989583,1.0,1.00255,0.995455,1.01342,0.985915,1.02041,1.0375,1.00803,1.0099,1.0,0.993506,1.03333,0.964706,1.0,1.01818,1.0303,1.02008,1.01333,1.01613,0.979167,1.0,1.0,0.994624,1.03077,1.0289,1.02381,1.03922,1.00858,1.0,0.993333,0.978723,1.0,1.02885
8,1.00565,1.00662,0.986486,1.00625,1.00735,0.971429,0.987342,0.989583,1.0,1.01639,1.01575,1.0,0.993151,1.01316,0.987013,1.03252,1.0042,1.06944,1.01111,0.962963,0.99115,1.0,1.0125,0.985714,1.06548,0.989691,1.0,1.00704,0.990196,0.997093,1.0,1.01421,1.01299,1.01136,0.99308,1.0,0.990783,1.04054,0.991803,1.0096,1.0,0.994286,0.959184,0.992883,1.0,0.997076,1.0,1.02857,1.07534,0.8777429999999999,1.0714299999999999,0.955556,0.981081,1.01143,1.01053,1.0,0.994924,0.958904,1.0,1.0,1.025,1.01205,1.00398,0.995098,0.9,0.986928,1.0,0.987805,0.994681,1.01786,0.941176,1.01181,1.01316,1.0,1.00304,0.99495,1.00746,1.00541,1.03358,0.977528,1.02326,1.03774,1.00851,0.993007,1.0,0.978261,1.01177,0.996885
9,1.01124,1.02961,1.0137,0.993789,1.0073,0.987395,1.02564,1.03684,1.01695,1.00806,1.03101,1.01186,1.0,1.01299,1.01316,1.0315,1.01674,1.02597,0.989011,1.0,1.0,1.0,0.938272,0.956522,1.02793,1.01736,1.01235,1.03496,0.990099,0.991254,1.01961,1.0084,1.03846,1.01124,1.04181,1.02273,1.00465,0.974026,1.0,1.00761,1.01382,1.02299,1.0,1.01075,1.03297,1.01173,1.00269,0.977778,1.04459,0.967857,0.955556,0.988372,1.02204,1.0113,1.0,1.0,1.0,1.0714299999999999,1.03974,1.01429,1.00976,1.02381,0.992063,1.01478,0.965812,0.993378,1.01792,1.01852,0.994652,1.0,1.0,1.01946,1.01732,1.03175,1.00606,1.00508,0.992593,1.01613,1.02527,1.00575,0.988636,1.01818,1.01688,1.01408,1.0,1.02222,1.03488,1.0125
