,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.99751,0.98648,0.9922,0.99195,0.95688,0.98638,0.98486,0.97811,0.98889,0.99043,1.0,0.98274,0.9945,0.98619,1.00262,1.03333,0.98609,0.99071,0.99683,0.9845,0.98684,0.99671,1.00892
1,1.00994,1.01371,1.00198,1.01014,0.97742,1.00462,0.99231,0.97479,1.00452,0.97746,1.0,0.99173,0.98619,0.98593,1.00785,1.06452,0.98765,0.98255,0.99682,1.0,0.99333,0.95396,0.99116
2,0.99753,0.96957,0.98433,0.99799,0.9769,0.9954,0.99225,0.99138,0.9955,0.99506,0.99261,0.99792,1.0056,1.0178,0.98442,0.9697,0.99108,0.99178,0.99839,1.00631,1.00224,0.99654,1.00448
3,1.00247,0.99651,0.98809,1.00598,0.99215,1.02305,1.00259,1.00293,1.01124,1.00662,1.00372,1.00522,1.01393,1.0,0.99736,1.03125,1.01081,0.99586,1.00962,0.99214,1.01339,0.98616,1.00442
4,1.01228,1.021,0.99396,1.002,0.97617,1.0135,0.99221,1.0115,1.00216,1.00493,1.01479,0.9948,0.99176,1.01048,1.00529,1.0303,1.00356,1.00141,0.99047,1.0016,1.00441,0.96842,1.00888
5,1.01457,1.02396,1.01011,1.01392,1.0,0.99113,1.00524,1.01146,1.01101,1.0131,1.01096,1.00522,1.01385,1.01037,0.98948,1.0,1.01421,1.01239,1.00801,1.00791,0.99123,1.02174,1.0
6,1.01433,1.01004,1.00801,1.00979,1.01631,1.02239,1.01824,1.03952,1.02399,1.02908,1.05416,1.02803,1.0,1.03086,1.00798,1.0,1.01751,1.02045,1.00477,1.0,0.99336,1.04966,1.04384
7,1.00474,0.98674,1.00597,0.99616,1.02392,1.00879,0.99743,1.00275,0.98721,0.99843,0.98286,0.99192,1.02459,0.98668,1.00791,0.97059,0.98795,0.99203,1.01266,1.00618,0.99332,0.97297,1.00839
8,1.0,1.01008,1.02174,0.99804,1.04692,1.01739,0.99745,1.04065,1.02585,1.01887,1.02441,1.01629,1.01333,1.01684,1.04452,1.0303,1.01045,1.02158,1.01564,1.00622,1.02311,1.02778,1.025
9,1.01409,1.00997,1.00195,0.99608,0.99256,0.98291,1.0,0.98955,0.99581,1.00154,1.01018,0.999,0.97368,0.99336,0.99749,0.97059,0.99828,0.98809,1.00769,1.00157,1.00224,1.02026,0.9878
10,1.00924,1.02301,0.98261,0.99021,0.98492,1.00436,1.0,1.01056,0.9958,0.99692,1.0,0.99399,1.0027,0.99669,0.9774,1.0,0.99136,0.99735,0.99847,0.98303,1.0155,0.97683,1.01648
11,0.99312,1.0,0.99804,0.98017,0.99239,0.99566,0.98715,0.98955,1.01059,0.99382,0.96297,0.99798,1.0,0.99662,0.97684,1.0303,0.99303,0.99863,0.99695,1.00628,0.99345,1.0,0.99191
12,0.99771,0.94536,1.00196,1.00811,1.01534,0.98697,1.0,1.00532,1.01466,0.99845,0.993,1.00405,0.9973,1.0,0.98159,1.0,0.98947,1.00266,0.99694,0.99376,0.97371,0.99662,1.00406
13,1.01386,1.03401,1.01769,1.01403,1.0152,1.03965,1.02342,1.03662,1.04753,1.02959,1.02467,1.03323,1.00541,1.01679,1.00804,1.05882,1.02305,1.02406,1.03385,1.01416,1.02028,1.04422,1.04067
14,0.97718,1.0,0.97102,0.99802,1.0,1.00421,1.02291,1.0,0.98814,1.00302,0.96564,1.01072,1.0,0.99011,1.0,1.0,0.98786,0.98436,0.99404,0.98604,1.011,1.00325,0.95704
15,1.0,1.00658,1.02189,1.00398,1.02985,1.00846,0.99502,1.03031,1.02596,1.01659,0.96442,1.02218,1.01344,1.01336,1.00798,1.0,1.01403,0.99865,1.01049,0.99849,1.00221,1.01948,1.04899
16,0.96729,1.00654,1.00778,0.9901,1.00722,0.97907,0.99499,0.98513,0.9864,1.00297,1.02212,1.00472,0.99735,0.98355,1.00791,1.0,1.00173,0.98273,0.98813,1.01569,0.97168,0.98089,1.01944
17,1.02657,1.02271,0.98841,0.99606,0.99283,1.01709,1.01509,0.99497,1.00593,0.99113,1.03248,1.00094,1.00532,0.98659,1.0,1.0,1.01554,1.00545,1.0,1.01388,0.98656,0.98377,1.00379
18,1.01882,0.98208,1.00976,0.98996,1.03621,1.0,1.00247,0.98491,0.99609,1.00149,1.014,1.01032,1.00265,1.01359,0.99215,0.94444,1.0017,1.00404,0.99851,1.00302,1.0,1.00989,0.99622
19,1.00925,1.01304,1.00581,0.98992,1.021,1.00842,1.02223,0.99486,1.02161,1.01043,1.02067,1.01764,1.02111,1.01673,0.99736,0.97059,1.01528,1.00798,1.0,1.01673,1.03863,1.00654,1.00762
20,1.00914,0.99358,0.99423,0.98572,0.9726,1.00831,1.0,1.00766,0.98457,0.98968,1.02367,0.99726,0.99742,1.01972,0.99736,1.0,0.98327,1.01334,1.01201,0.99848,0.99125,1.02272,1.01517
21,1.01361,0.99029,1.00158,0.99376,0.97885,0.97933,0.99757,0.99752,1.0,0.99105,0.99009,0.99817,0.98705,1.00647,0.99205,1.0,0.9966,1.00655,1.00149,0.98959,0.99336,1.01589,1.00745
22,0.98435,0.9902,0.99608,0.99588,1.0,0.98312,1.01696,0.97432,0.9844,0.98647,0.98335,0.9945,0.99213,0.98079,1.00267,1.0303,0.97952,0.99475,0.99258,1.00599,0.98887,1.00312,1.01851
23,1.01136,1.00328,0.99802,1.01878,1.01443,1.0129,1.00951,1.01054,1.01786,1.00762,1.0305,1.01474,1.00265,0.99345,1.01866,1.0,1.0122,1.01835,1.02688,1.01358,1.00898,0.99689,1.01091
24,1.00674,1.0066,1.00791,1.00619,1.02837,1.02116,1.00944,0.97392,0.99023,0.98033,0.99342,0.99183,1.00792,1.00659,1.00262,1.02941,1.00172,0.99482,0.98837,1.02078,0.9889,1.0,0.97841
25,1.00405,0.98692,1.0,0.99795,1.02071,1.00416,1.01401,0.97599,0.998,0.98765,0.99669,0.99981,1.02094,0.98035,0.99739,1.02857,0.99656,0.99743,0.98528,1.00435,1.0045,1.00312,1.00369
26,1.00452,0.99339,1.00586,1.00616,1.01347,1.0,0.99309,1.00274,1.01783,1.01747,1.01995,1.01293,1.0,1.02005,1.01312,1.0,1.01207,0.9961,1.01494,1.0058,1.00222,1.0187,1.01099
27,1.00448,1.02,1.0,1.00606,0.98671,0.99586,0.98609,0.99726,0.99613,0.99532,1.00323,1.00091,1.01539,1.00324,1.00517,1.0,0.99829,0.99741,1.00587,1.00431,1.00447,1.01529,1.01451
28,0.9933,1.01633,0.99807,0.99195,0.98645,0.98756,0.99761,0.99177,0.98439,0.98746,0.97729,0.97267,0.98485,0.99677,1.00257,1.0,0.95222,1.01177,0.99561,0.99571,0.9978,0.997,0.99283
29,1.01349,1.00323,1.0039,0.99182,0.99317,1.00421,1.0,1.01374,1.00194,1.0127,0.97011,0.98689,1.01282,1.01304,1.00256,0.97222,0.99463,1.0,0.9912,1.02154,0.99775,1.03323,0.93528
30,1.01773,1.00318,1.01552,1.00206,1.02071,1.00419,1.01436,1.01092,1.02377,1.00783,1.0,1.01518,1.00506,1.01293,1.04346,1.02857,1.01081,1.01025,1.00443,1.01408,1.01793,1.01461,0.99228
31,0.99565,0.99042,0.99043,1.00823,0.98645,0.98748,1.01416,0.9892,0.9807,0.98134,1.02053,0.98692,0.99793,1.00955,0.9804,1.0,0.99287,1.0026,0.99117,0.99309,1.0,0.97407,1.00389
32,0.9978,0.98388,1.0058,1.00204,0.99317,0.98312,1.0,0.99463,0.99408,0.9905,0.97988,0.99527,0.97189,0.979,0.995,0.97222,0.9982,1.00123,0.99097,0.99021,0.99117,0.98521,0.99229
33,0.9978,1.0,0.99809,1.00605,0.99313,1.0086,0.99767,0.99451,1.00595,1.00639,0.98972,1.00381,1.01054,1.00326,1.00251,1.0,0.98921,0.99747,1.00304,1.00143,1.00667,1.012,1.0
34,0.99561,0.99345,1.00769,0.99595,1.00692,0.99574,0.99766,0.98897,1.0,1.0,1.04152,1.01422,1.01562,1.0,1.01503,1.0,1.00364,1.0,1.00303,0.99148,0.9912,0.98221,0.98833
35,0.99559,0.99669,1.0,1.0061,1.0,1.00856,0.99766,0.9749,0.98816,0.98569,1.00333,1.0,1.02307,0.97087,0.98272,1.02857,0.99275,0.99617,0.99397,0.98722,1.00668,1.00301,0.9921
36,1.00443,1.0,0.99427,1.0,1.00687,0.98302,0.99064,1.01144,0.99401,0.99839,0.98012,0.99346,0.99496,0.99665,1.0,1.0,1.00912,1.00639,1.00151,0.99854,1.00882,0.98192,0.98415
37,1.00222,0.98345,1.00767,1.00802,0.99317,1.0,1.0,0.98868,1.0,1.00646,1.03719,1.00753,0.98742,1.01673,0.99498,0.97222,1.0172,1.01147,1.01516,1.01442,1.00654,0.99386,0.99933
38,1.01983,0.99324,1.00953,1.01002,0.99313,1.01296,1.00237,1.01144,1.03209,1.0,0.9837,1.00467,1.0153,1.01976,1.0,1.02857,1.0036,1.01006,1.0015,1.01855,1.0022,1.02779,1.03255
39,0.99352,1.0,1.01698,0.99802,1.00692,1.00849,0.99057,1.00283,0.99219,1.00482,0.97021,0.98978,0.98493,1.01607,1.00505,1.0,1.00179,0.99746,0.98211,1.00694,0.98914,1.00601,1.0
40,1.01957,1.0034,1.01113,1.00591,1.00687,1.00846,1.0,1.00564,1.00476,1.01597,1.01021,1.00657,0.99491,1.0,0.99498,1.0,1.00179,1.00429,0.99544,1.00556,0.99783,1.00298,1.00784
41,0.9936,1.00339,1.01651,1.02564,1.0,0.99581,1.0119,1.01964,1.00783,1.00157,1.02029,1.01399,1.00511,1.01588,1.00252,1.0,0.99821,1.00127,1.0244,1.04549,1.00217,0.99703,1.00782
42,0.99141,0.96632,0.9946,1.01343,0.98635,1.00421,0.99764,0.99175,0.99223,0.99529,0.98012,0.99356,0.99743,0.99064,1.00673,1.0,0.99463,0.995,0.99405,0.98547,1.00221,1.00298,0.99224
43,1.00649,1.01045,1.0,0.9962,0.99299,1.0,1.0165,1.00277,1.00592,1.00158,1.00676,1.0,1.01282,0.99056,1.00506,1.0,1.0072,0.99746,1.01047,0.99871,1.00437,0.97917,1.00782
44,0.97848,0.99312,0.99272,0.99618,1.00706,0.98327,0.9977,0.98617,0.99019,0.99212,0.9866,0.98426,0.99492,0.9936,1.0,1.0,0.99643,1.00759,0.98371,1.00129,0.98474,0.97265,0.97676
45,1.00221,0.9861,0.99818,1.00383,0.99299,1.00849,0.98837,0.98878,0.99016,0.99683,0.97957,0.97931,0.99494,1.00322,0.97985,1.0,0.99641,0.99753,0.99699,0.99334,0.9845,0.98436,1.0
46,1.0,0.97534,1.0,1.00573,1.0,1.00846,0.98588,1.00284,0.996,1.00477,0.98266,0.99616,0.99743,0.99358,1.01285,1.0,1.0,0.99619,0.99548,0.99733,1.01574,0.99365,1.0119
47,1.0,0.98917,1.0,1.00558,1.0,0.99162,0.99522,0.99434,1.00201,0.99367,1.01411,1.01446,1.0,1.00323,0.98731,1.0,1.0036,1.0,1.00304,0.98108,1.00666,0.99681,0.99609
48,1.00878,0.99271,1.0,0.98856,1.0,1.00423,0.9976,1.00853,1.0,1.00797,0.9826,1.00285,0.99748,1.0096,1.00771,0.97222,0.99641,1.0063,1.00303,1.00685,0.99778,1.00452,1.0118
49,1.00652,0.99631,0.99816,0.99422,1.0,0.99162,0.99762,0.98307,0.99004,0.98101,0.9539,0.98578,1.0,1.0,0.99235,1.02857,0.991,1.00626,0.98793,0.98494,0.99782,0.97428,0.98834
50,1.01727,0.98893,1.0,0.99808,0.99303,0.99575,0.99517,0.99713,0.99797,1.0,1.00161,0.99135,0.99484,0.99687,1.0,0.97222,0.99093,1.01238,1.00305,1.01388,0.98672,1.0033,1.00392
51,0.99787,1.00374,0.97982,0.98449,1.0,0.98721,0.97821,0.99137,0.98992,0.99677,1.0,0.99806,1.0,1.0,0.98972,1.02857,1.0055,0.99143,0.99391,0.98089,0.99332,1.0,0.98824
52,0.99789,0.98143,1.00749,1.0,1.0,0.98708,1.0099,0.99139,0.99385,0.97735,0.99629,0.99806,0.99227,1.0,1.0,0.97222,0.99818,0.99261,1.00306,1.01672,1.0,1.00329,0.99601
